fov,volume,center_x,center_y,min_x,max_x,min_y,max_y
165747897693809971960756442245389760838,0,1652,167.579,4323.87,158.226,176.932,4314.19,4333.55
78824567290392583759149174270788785195,0,445.436,161.909,4319.22,157.254,166.564,4315.38,4323.07
